win_probability,pot_odds,street,stack_to_pot,opponent_bet_ratio,players_left,action,won_hand
0.68,0.0,3,0.0,0.0,2,raise,True
0.26,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.44,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.54,0.0,0,49.5,0.0,2,call,False
0.64,0.0,1,49.5,0.0,2,raise,True
0.32,0.3333333333333333,1,24.75,0.5,2,fold,False
0.4,0.4,0,66.66666666666667,0.6666666666666666,3,call,False
0.44,0.16666666666666666,0,39.8,0.2,3,call,False
0.4,0.0,0,33.0,0.0,3,call,True
0.3,0.0,1,33.0,0.0,3,call,False
0.72,0.0,1,33.0,0.0,3,raise,True
0.16,0.2857142857142857,1,19.8,0.4,3,fold,False
0.7,0.2857142857142857,1,19.8,0.4,2,raise,False
0.62,0.18181818181818182,1,10.777777777777779,0.2222222222222222,2,call,True
0.46,0.0,2,8.636363636363637,0.0,2,call,False
0.98,0.0,2,8.636363636363637,0.0,2,raise,True
0.42,0.4481132075471698,2,1.623931623931624,0.811965811965812,2,fold,False
0.18,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.54,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.44,0.0,0,49.5,0.0,2,call,False
0.68,0.0,1,49.5,0.0,2,raise,True
0.16,0.3333333333333333,1,24.75,0.5,2,fold,False
0.36,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.62,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.64,0.0,0,49.5,0.0,2,raise,False
0.56,0.3333333333333333,0,24.75,0.5,2,call,True
0.72,0.0,1,16.166666666666668,0.0,2,raise,True
0.4,0.2,1,12.125,0.25,2,call,False
0.96,0.0,2,9.5,0.0,2,raise,True
0.48,0.4523809523809524,2,1.6521739130434783,0.8260869565217391,2,call,False
0.98,0.0,3,0.4523809523809524,0.0,2,raise,True
0.68,0.15551181102362205,3,0.3690753690753691,0.18414918414918416,2,raise,False
0.98,0.119,3,0.13507377979568672,0.13507377979568672,2,raise,True
0.46,0.4,0,66.66666666666667,0.6666666666666666,3,call,True
0.7,0.16666666666666666,0,39.8,0.2,3,raise,False
0.36,0.2857142857142857,0,19.8,0.4,3,call,False
0.28,0.2222222222222222,0,14.142857142857142,0.2857142857142857,3,call,True
0.74,0.0,1,10.777777777777779,0.0,3,raise,False
0.3,0.15384615384615385,1,8.818181818181818,0.18181818181818182,3,call,False
0.86,0.13333333333333333,1,7.461538461538462,0.15384615384615385,3,raise,True
0.76,0.23214285714285715,1,4.4186046511627906,0.3023255813953488,3,raise,False
0.5,0.2345679012345679,1,3.064516129032258,0.3064516129032258,3,call,False
0.78,0.06896551724137931,1,2.185185185185185,0.07407407407407407,3,raise,True
0.78,0.24076281287246723,1,1.3422291993720565,0.31711145996860285,3,raise,False
0.42,0.21071752951861944,1,0.9838895281933256,0.2669735327963176,3,call,False
0.84,0.026525198938992044,1,0.5930971843778383,0.027247956403269755,3,raise,True
0.7,0.18283791362871565,1,0.42759094028826355,0.2237474262182567,3,raise,False
0.44,0.1610051186598418,1,0.3455352190793123,0.19190238491403216,3,call,False
0.8,0.009220839096357769,1,0.1382038157282457,0.009306654257794323,3,raise,True
0.72,0.06004056795131846,1,0.119551143720328,0.06387570133793699,3,raise,False
0.44,0.09648206199930338,1,0.10678488820354665,0.10678488820354665,3,call,False
0.86,0.043,1,0.04493207941483804,0.04493207941483804,3,raise,True
0.76,0.0,2,0.0,0.0,3,raise,False
0.2,0.0,2,0.0,0.0,3,call,False
0.8,0.0,2,0.0,0.0,3,raise,True
0.72,0.0,3,0.0,0.0,3,raise,False
0.12,0.0,3,0.0,0.0,3,call,False
0.84,0.0,3,0.0,0.0,3,raise,True
0.42,0.4,0,66.66666666666667,0.6666666666666666,3,call,False
0.72,0.16666666666666666,0,39.8,0.2,3,raise,True
0.28,0.2222222222222222,0,23.571428571428573,0.2857142857142857,3,call,False
0.34,0.18181818181818182,0,18.333333333333332,0.2222222222222222,3,call,False
0.58,0.0,1,14.818181818181818,0.0,3,call,True
0.14,0.0,1,14.818181818181818,0.0,3,call,False
0.44,0.0,1,14.818181818181818,0.0,3,call,False
0.64,0.0,2,14.818181818181818,0.0,3,raise,True
0.02,0.18867924528301888,2,11.372093023255815,0.23255813953488372,3,fold,False
0.52,0.18867924528301888,2,11.372093023255815,0.23255813953488372,2,call,False
0.84,0.0,3,9.037735849056604,0.0,2,raise,True
0.66,0.450187969924812,3,1.6376068376068376,0.8188034188034188,2,raise,False
0.9,0.018115942028985508,3,0.4418819188191882,0.01845018450184502,2,raise,True
0.58,0.15107458912768648,3,0.34177215189873417,0.17795979151154132,2,call,False
0.4,0.4,0,66.66666666666667,0.6666666666666666,3,call,True
